"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"4298","B. Zylstra","G",27,3,7,1,5,1,2,1,0,1,1,0,0,2,2,8,304
"5298","C. Cusick","G",28,1,3,1,1,0,0,2,3,5,1,0,0,1,2,3,304
"7294","B. Kaufusi","F",12,1,3,0,0,0,2,3,3,6,0,1,0,0,1,2,304
"8294","A. Ambrosino","F",8,1,2,0,1,1,2,0,3,3,0,0,0,0,1,3,304
"9294","I. Harward","F",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,304
"10277","N. Austin","F",11,1,1,0,0,1,2,1,1,2,0,1,0,0,3,3,304
"11247","J. Sharp","F",19,1,2,0,0,2,2,1,3,4,1,1,0,1,4,4,304
"12196","R. Delgado","G",2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,304
"13128","C. Calvert","G",10,1,4,0,1,2,2,2,0,2,0,0,0,0,0,4,304
"14104","A. Winder","G",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,304
"1519","N. Austin","F",21,2,6,0,1,2,2,3,1,4,0,0,0,1,5,6,305
"2299","B. Davies","F",38,7,15,1,1,5,9,0,9,9,8,0,0,3,2,20,305
"3299","M. Carlino","G",34,5,11,2,5,1,2,1,6,7,2,1,0,4,0,13,305
"4299","T. Haws","G",29,7,13,1,2,5,6,0,1,1,0,2,0,2,2,20,305
"5299","B. Zylstra","G",28,2,5,0,2,0,0,0,4,4,1,0,0,1,5,4,305
"7295","B. Kaufusi","F",7,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,305
"8295","A. Ambrosino","F",8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,305
"9295","J. Sharp","F",6,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,305
"10278","R. Delgado","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
"11248","C. Calvert","G",5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,305
"12197","A. Winder","G",4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,305
"13129","C. Cusick","G",19,2,3,0,0,0,0,0,1,1,1,1,0,0,3,4,305
"1520","E. Mika","F",25,2,5,0,0,11,16,2,5,7,1,0,0,2,4,15,306
"2300","N. Austin","F",16,1,2,0,0,0,0,4,1,5,0,1,0,2,4,2,306
"3300","A. Winder","G",29,3,5,1,3,0,0,0,2,2,2,2,0,1,2,7,306
"4300","M. Carlino","G",32,4,16,2,7,5,6,0,2,2,5,0,0,0,2,15,306
"5300","T. Haws","G",35,7,18,1,4,4,4,1,3,4,1,1,0,2,3,19,306
"7296","G. Pingree","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
"8296","L. Worthington","F",9,0,0,0,0,0,0,0,2,2,0,0,0,1,3,0,306
"9296","J. Sharp","F",23,0,1,0,0,0,0,3,0,3,3,0,0,0,3,0,306
"10279","A. Johnston","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
"11249","F. Bartley","IVG",19,3,10,1,2,3,4,1,3,4,0,0,0,0,1,10,306
"12198","S. Halford","G",10,0,4,0,3,0,0,0,1,1,2,0,0,0,3,0,306
"1521","E. Mika","F",24,3,6,0,0,1,2,1,4,5,2,0,3,0,4,7,307
"2301","N. Austin","F",26,1,2,0,0,0,0,1,7,8,2,0,1,0,4,2,307
"3301","K. Collinsworth","G",37,4,9,0,0,3,4,2,8,10,6,1,1,2,3,11,307
"4301","M. Carlino","G",36,10,22,1,4,1,1,3,3,6,6,2,0,2,0,22,307
"5301","T. Haws","G",36,9,21,1,2,9,12,4,9,13,1,0,0,1,2,28,307
"7297","L. Worthington","F",10,1,2,0,0,0,0,1,0,1,0,0,0,1,1,2,307
"8297","J. Sharp","F",4,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,307
"9297","F. Bartley","IVG",5,1,2,0,0,0,1,0,0,0,0,0,0,1,3,2,307
"10280","A. Winder","G",17,2,5,1,2,0,0,0,0,0,1,1,0,0,1,5,307
"11250","S. Halford","G",5,1,2,0,1,0,0,0,0,0,0,0,0,0,2,2,307
"1522","E. Mika","F",26,4,8,0,0,4,7,2,2,4,2,0,0,0,3,12,308
"2302","N. Austin","F",26,5,7,1,2,1,2,3,5,8,1,1,2,0,4,12,308
"3302","K. Collinsworth","G",36,4,11,1,1,5,8,2,5,7,9,3,1,3,4,14,308
"4302","M. Carlino","G",22,8,16,1,4,9,12,2,3,5,3,0,0,7,3,26,308
"5302","T. Haws","G",35,10,18,2,3,9,13,1,7,8,3,3,0,1,2,31,308
"7298","L. Worthington","F",11,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,308
"8298","J. Sharp","F",4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2,308
"9298","F. Bartley","IVG",11,1,3,1,2,0,0,1,0,1,0,1,0,0,0,3,308
"10281","A. Winder","G",21,4,5,2,3,0,0,0,2,2,5,0,0,0,4,10,308
"11251","S. Halford","G",8,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,308
"1523","E. Mika","F",21,9,10,0,0,2,4,2,2,4,1,0,2,1,3,20,309
"2303","N. Austin","F",25,1,2,1,1,2,2,3,6,9,3,1,1,2,3,5,309
"3303","A. Winder","G",30,9,12,2,4,2,4,0,3,3,6,1,0,1,2,22,309
"4303","K. Collinsworth","G",32,5,7,1,1,2,4,0,10,10,4,1,0,1,1,13,309
"5303","M. Carlino","G",25,3,13,2,6,2,4,1,5,6,8,3,1,3,3,10,309
"7299","G. Pingree","F",3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,309
"8299","L. Worthington","F",7,2,5,0,0,0,2,0,1,1,1,0,0,2,0,4,309
"9299","J. Sharp","F",9,0,1,0,0,2,2,1,4,5,0,0,1,0,0,2,309
"10282","A. Johnston","G",3,0,0,0,0,1,2,0,1,1,1,0,0,0,1,1,309
"11252","F. Bartley","IVG",19,6,7,1,1,3,3,2,5,7,1,1,0,1,2,16,309
"12199","S. Halford","G",26,6,11,1,5,2,3,0,1,1,1,0,0,1,4,15,309
"1524","E. Mika","F",19,3,5,0,0,5,7,2,1,3,0,2,0,0,4,11,310
"2304","N. Austin","F",31,2,2,0,0,0,2,3,9,12,2,0,2,1,3,4,310
"3304","A. Winder","G",27,4,14,0,7,6,6,1,4,5,1,1,0,0,2,14,310
"4304","K. Collinsworth","G",33,5,11,1,3,4,7,2,4,6,6,4,0,1,2,15,310
"5304","M. Carlino","G",32,5,17,0,6,6,8,1,4,5,3,2,1,2,0,16,310
"7300","G. Pingree","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
"8300","L. Worthington","F",7,1,1,0,0,0,2,0,0,0,0,0,0,0,3,2,310
"9300","J. Sharp","F",8,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,310
"10283","A. Johnston","G",3,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,310
"11253","F. Bartley","IVG",17,2,4,0,2,6,7,1,2,3,1,2,0,0,3,10,310
"12200","S. Halford","G",22,4,7,0,2,4,4,0,2,2,1,1,0,2,1,12,310
"1525","E. Mika","F",32,8,15,0,0,1,4,5,4,9,2,0,1,1,3,17,311
"2305","N. Austin","F",35,3,5,0,1,0,0,5,8,13,0,2,1,2,4,6,311
"3305","K. Collinsworth","G",34,4,12,0,0,3,4,1,8,9,4,0,0,0,2,11,311
"4305","M. Carlino","G",29,9,20,1,5,0,0,1,3,4,7,4,0,0,1,19,311
"5305","T. Haws","G",33,6,19,1,3,7,8,1,2,3,0,1,0,3,3,20,311
"7301","L. Worthington","F",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,311
"8301","F. Bartley","IVG",8,2,3,0,1,0,2,0,1,1,0,0,0,0,2,4,311
"9301","A. Winder","G",21,2,7,1,3,1,2,1,2,3,2,1,1,2,0,6,311
"10284","S. Halford","G",5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,5,311
"1526","E. Mika","F",26,6,14,0,0,3,4,1,6,7,2,2,0,1,4,15,312
"2306","N. Austin","F",22,0,2,0,0,2,2,1,3,4,0,2,1,1,4,2,312
"3306","K. Collinsworth","G",35,5,9,0,0,3,5,0,8,8,5,1,0,6,4,13,312
"4306","M. Carlino","G",34,7,16,5,7,1,2,1,5,6,6,2,0,4,2,20,312
"5306","T. Haws","G",37,7,16,2,2,9,10,1,4,5,2,0,0,2,2,25,312
"7302","L. Worthington","F",5,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,312
"8302","F. Bartley","IVG",26,3,3,3,3,2,5,0,4,4,2,0,1,2,2,11,312
"9302","A. Winder","G",13,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,312
"10285","S. Halford","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,312
"1527","E. Mika","F",25,3,6,0,0,4,6,1,0,1,1,0,0,1,4,10,313
"2307","N. Austin","F",29,0,1,0,0,0,0,2,10,12,0,1,1,2,3,0,313
"3307","K. Collinsworth","G",31,2,6,0,0,2,6,2,7,9,3,1,0,4,4,6,313
"4307","M. Carlino","G",39,7,19,4,9,3,5,0,6,6,2,1,0,2,2,21,313
"5307","T. Haws","G",38,3,15,0,3,11,11,1,2,3,1,2,0,3,2,17,313
"7303","L. Worthington","F",4,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,313
"8303","J. Sharp","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313
"9303","F. Bartley","IVG",20,3,8,1,5,0,0,2,1,3,0,0,0,0,1,7,313
"10286","A. Winder","G",7,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,313
"11254","S. Halford","G",5,0,2,0,2,1,2,0,0,0,0,0,0,0,1,1,313
"1528","E. Mika","F",34,7,12,0,0,1,1,5,4,9,1,1,0,2,1,15,314
"2308","N. Austin","F",25,1,2,0,0,0,0,2,1,3,1,1,0,1,0,2,314
"3308","K. Collinsworth","G",38,3,7,0,0,1,4,4,9,13,8,2,2,1,2,7,314
"4308","M. Carlino","G",35,7,17,0,4,4,6,2,2,4,2,2,0,2,1,18,314
"5308","T. Haws","G",34,6,13,1,5,8,8,0,2,2,3,2,0,1,2,21,314
"7304","F. Bartley","IVG",20,4,11,1,2,5,8,0,5,5,1,1,1,0,0,14,314
"8304","A. Winder","G",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,314
"9304","S. Halford","G",13,4,7,0,1,0,0,0,1,1,1,1,0,0,2,8,314
"1529","E. Mika","F",29,7,16,0,0,3,5,5,6,11,0,0,1,1,1,17,315
"2309","N. Austin","F",29,3,6,0,0,4,5,2,11,13,2,1,3,2,4,10,315
"3309","K. Collinsworth","G",25,8,12,0,0,1,1,2,3,5,6,1,0,3,3,17,315
"4309","M. Carlino","G",29,2,11,0,2,1,2,0,10,10,11,3,0,7,1,5,315
"5309","T. Haws","G",29,9,12,1,2,4,4,1,3,4,1,0,0,1,2,23,315
"7305","G. Pingree","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
"8305","L. Worthington","F",6,1,2,0,0,0,1,0,2,2,0,0,0,0,0,2,315
"9305","J. Sharp","F",3,0,0,0,0,0,0,1,4,5,0,0,0,1,0,0,315
"10287","A. Johnston","G",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,315
"11255","F. Bartley","IVG",13,1,8,0,2,1,2,1,2,3,1,2,1,0,1,3,315
"12201","A. Winder","G",14,2,2,0,0,0,0,0,2,2,2,0,0,0,1,4,315
"13130","S. Halford","G",20,5,7,3,5,3,4,0,2,2,1,0,0,0,2,16,315
"1530","E. Mika","F",28,6,11,0,0,6,7,5,3,8,0,1,0,0,4,18,316
"2310","N. Austin","F",19,0,0,0,0,0,0,1,4,5,2,0,0,0,5,0,316
"3310","K. Collinsworth","G",37,4,9,2,3,4,7,1,6,7,3,0,0,5,3,14,316
"4310","M. Carlino","G",28,9,18,1,5,4,4,0,3,3,6,0,0,1,2,23,316
