"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"5310","T. Haws","G",35,9,16,1,3,6,6,1,2,3,1,0,1,2,4,25,316
"7306","L. Worthington","F",7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,316
"8306","J. Sharp","F",2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,316
"9306","F. Bartley","IVG",24,4,10,0,2,6,8,1,1,2,1,1,0,1,2,14,316
"10288","A. Winder","G",6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,316
"11256","S. Halford","G",14,1,3,0,0,0,1,0,1,1,2,1,0,0,1,2,316
"1531","E. Mika","F",18,4,8,0,0,7,11,3,3,6,1,0,1,3,3,15,317
"2311","N. Austin","F",28,3,5,0,0,2,2,2,9,11,4,4,0,0,1,8,317
"3311","K. Collinsworth","G",34,7,12,0,1,5,8,1,5,6,3,0,2,0,1,19,317
"4311","M. Carlino","G",25,2,2,0,0,3,4,0,1,1,7,4,0,6,1,7,317
"5311","T. Haws","G",20,7,11,4,6,1,2,1,4,5,1,1,0,2,1,19,317
"7307","G. Pingree","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,317
"8307","L. Worthington","F",9,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,317
"9307","J. Sharp","F",6,2,3,0,0,0,0,1,1,2,0,0,0,0,0,4,317
"10289","A. Johnston","G",2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,317
"11257","F. Bartley","IVG",25,2,5,1,1,0,0,0,4,4,6,1,1,3,1,5,317
"12202","A. Winder","G",16,4,4,3,3,0,0,0,3,3,1,1,0,0,2,11,317
"13131","S. Halford","G",15,2,5,1,2,2,2,0,0,0,3,2,0,1,1,7,317
"1532","E. Mika","F",28,5,10,0,0,2,6,7,3,10,2,1,1,2,2,12,318
"2312","N. Austin","F",19,1,2,0,0,0,0,2,1,3,0,1,2,1,4,2,318
"3312","K. Collinsworth","G",37,3,11,0,2,6,10,2,7,9,4,1,1,2,0,12,318
"4312","M. Carlino","G",20,3,15,1,5,0,2,0,4,4,0,2,0,2,3,7,318
"5312","T. Haws","G",34,3,11,1,4,7,9,0,6,6,1,1,0,0,2,14,318
"7308","L. Worthington","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,318
"8308","J. Sharp","F",15,2,3,0,1,0,1,1,2,3,1,0,1,0,2,4,318
"9308","F. Bartley","IVG",19,0,5,0,2,0,0,0,3,3,1,0,1,1,1,0,318
"10290","A. Winder","G",13,2,4,1,3,2,3,0,1,1,1,1,0,1,1,7,318
"11258","S. Halford","G",12,2,3,2,2,0,0,0,0,0,0,1,0,1,3,6,318
"1533","E. Mika","F",28,5,8,0,0,3,9,4,4,8,1,0,0,4,5,13,319
"2313","N. Austin","F",30,1,4,0,0,2,4,4,8,12,2,1,0,1,5,4,319
"3313","K. Collinsworth","G",41,5,13,0,1,5,8,2,3,5,8,1,2,4,2,15,319
"4313","M. Carlino","G",37,5,17,2,7,3,4,2,9,11,4,2,0,3,2,15,319
"5313","T. Haws","G",42,13,21,1,4,5,5,0,2,2,0,1,1,2,3,32,319
"7309","J. Sharp","F",12,0,0,0,0,0,0,1,2,3,0,0,1,1,3,0,319
"8309","F. Bartley","IVG",20,1,3,1,2,2,4,2,2,4,0,0,0,2,2,5,319
"9309","A. Winder","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
"10291","S. Halford","G",14,4,6,2,2,2,2,1,1,2,0,0,0,1,1,12,319
"1534","E. Mika","F",26,5,8,0,0,7,11,2,5,7,1,0,1,0,3,17,320
"2314","N. Austin","F",25,1,1,0,0,0,0,0,5,5,2,0,0,0,5,2,320
"3314","K. Collinsworth","G",34,7,13,0,0,4,5,3,5,8,3,1,1,5,1,18,320
"4314","M. Carlino","G",22,4,13,1,4,4,4,1,1,2,1,0,0,0,5,13,320
"5314","T. Haws","G",34,4,15,1,2,2,2,2,4,6,1,0,0,5,0,11,320
"7310","L. Worthington","F",4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,320
"8310","J. Sharp","F",8,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,320
"9310","F. Bartley","IVG",18,3,7,0,2,0,2,1,6,7,4,0,0,1,0,6,320
"10292","A. Winder","G",18,2,4,0,1,0,2,0,0,0,2,2,0,2,4,4,320
"11259","S. Halford","G",11,2,2,1,1,0,0,0,1,1,0,0,0,0,1,5,320
"1535","E. Mika","F",27,4,7,0,0,2,4,5,2,7,0,0,2,0,5,10,321
"2315","N. Austin","F",18,2,4,0,0,0,0,3,2,5,0,0,1,1,5,4,321
"3315","K. Collinsworth","G",38,4,8,0,0,3,6,6,7,13,7,5,2,3,2,11,321
"4315","M. Carlino","G",19,1,7,0,1,2,2,0,1,1,2,1,0,3,0,4,321
"5315","T. Haws","G",37,7,18,0,3,6,7,2,4,6,1,1,0,2,1,20,321
"7311","L. Worthington","F",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321
